Keyword,keywords
2014-09-20 04:21:47 +0000
id,name,genre_id,category_id,created_at,updated_at
1,中国,3,1,2013-10-30 23:52:43 UTC,2013-10-30 23:52:43 UTC
2,天安門,3,1,2013-11-03 02:02:15 UTC,2013-11-03 02:02:15 UTC
3,日中,3,1,2013-11-03 02:02:15 UTC,2013-11-03 02:02:15 UTC
4,北京,3,1,2013-11-03 02:02:15 UTC,2013-11-03 02:02:15 UTC
5,上海,3,1,2013-11-03 02:02:15 UTC,2013-11-03 02:02:15 UTC
6,ウイグル,3,1,2013-11-03 02:02:15 UTC,2013-11-03 02:02:15 UTC
7,欧州,3,2,2013-11-03 02:04:00 UTC,2013-11-03 02:04:00 UTC
8,ヨーロッパ,3,2,2013-11-03 02:04:00 UTC,2013-11-03 02:04:00 UTC
9,ドイツ,3,2,2013-11-03 02:04:00 UTC,2013-11-03 02:04:00 UTC
10,フランス,3,2,2013-11-03 02:04:00 UTC,2013-11-03 02:04:00 UTC
11,イギリス,3,2,2013-11-03 02:04:00 UTC,2013-11-03 02:04:00 UTC
12,イタリア,3,2,2013-11-03 02:04:00 UTC,2013-11-03 02:04:00 UTC
13,ポーランド,3,2,2013-11-03 02:04:00 UTC,2013-11-03 02:04:00 UTC
14,ロシア,3,2,2013-11-07 06:14:16 UTC,2013-11-07 06:14:16 UTC
15,ハンガリー,3,2,2013-11-07 06:14:16 UTC,2013-11-07 06:14:16 UTC
16,ナチス,3,2,2013-11-07 06:14:16 UTC,2013-11-07 06:14:16 UTC
17,米大統領,3,3,2013-11-08 09:47:44 UTC,2013-11-08 09:47:44 UTC
18,FDA,3,3,2013-11-08 09:47:44 UTC,2013-11-08 09:47:44 UTC
19,オバマ,3,3,2013-11-08 09:47:44 UTC,2013-11-08 09:47:44 UTC
20,米国務長官,3,3,2013-11-08 09:48:43 UTC,2013-11-08 09:48:43 UTC
21,英国,3,2,2013-11-08 19:44:06 UTC,2013-11-08 19:44:06 UTC
22,ギリシャ,3,2,2013-11-08 19:44:06 UTC,2013-11-08 19:44:06 UTC
23,英情報,3,2,2013-11-08 19:44:06 UTC,2013-11-08 19:44:06 UTC
24,国務長官,3,3,2013-11-09 14:28:13 UTC,2013-11-09 14:28:13 UTC
25,シンガポール,3,4,2013-11-09 14:32:55 UTC,2013-11-09 14:32:55 UTC
26,マレーシア,3,4,2013-11-09 14:32:55 UTC,2013-11-09 14:32:55 UTC
27,タイ,3,4,2013-11-09 14:32:55 UTC,2013-11-09 14:32:55 UTC
28,カンボジア,3,4,2013-11-09 14:32:55 UTC,2013-11-09 14:32:55 UTC
29,フィリピン,3,4,2013-11-09 14:32:55 UTC,2013-11-09 14:32:55 UTC
30,韓国,3,5,2013-11-09 14:35:51 UTC,2013-11-09 14:35:51 UTC
31,北朝鮮,3,5,2013-11-09 14:35:51 UTC,2013-11-09 14:35:51 UTC
32,朝鮮,3,5,2013-11-09 14:35:51 UTC,2013-11-09 14:35:51 UTC
33,慰安婦,3,5,2013-11-09 14:35:51 UTC,2013-11-09 14:35:51 UTC
34,ソウル,3,5,2013-11-09 14:35:51 UTC,2013-11-09 14:35:51 UTC
35,金正恩,3,5,2013-11-09 14:35:51 UTC,2013-11-09 14:35:51 UTC
36,朴槿恵,3,5,2013-11-09 14:35:51 UTC,2013-11-09 14:35:51 UTC
37,中東,3,6,2013-11-09 14:37:34 UTC,2013-11-09 14:37:34 UTC
38,イラン,3,6,2013-11-09 14:37:34 UTC,2013-11-09 14:37:34 UTC
39,イスラエル,3,6,2013-11-09 14:37:34 UTC,2013-11-09 14:37:34 UTC
40,イラク,3,6,2013-11-09 14:37:34 UTC,2013-11-09 14:37:34 UTC
41,シリア,3,6,2013-11-09 14:37:34 UTC,2013-11-09 14:37:34 UTC
42,湾岸,3,6,2013-11-09 14:37:34 UTC,2013-11-09 14:37:34 UTC
43,アラファト,3,6,2013-11-09 14:37:34 UTC,2013-11-09 14:37:34 UTC
44,ガーディアン,3,2,2013-11-09 14:39:56 UTC,2013-11-09 14:39:56 UTC
45,スイス,3,2,2013-11-09 14:39:56 UTC,2013-11-09 14:39:56 UTC
46,マドリード,3,2,2013-11-09 14:39:56 UTC,2013-11-09 14:39:56 UTC
47,ボルドー,3,2,2013-11-09 14:39:56 UTC,2013-11-09 14:39:56 UTC
48,英議会,3,2,2013-11-09 14:39:56 UTC,2013-11-09 14:39:56 UTC
49,パレスチナ,3,6,2013-11-09 21:11:16 UTC,2013-11-09 21:11:16 UTC
50,ドバイ,3,6,2013-11-09 21:11:16 UTC,2013-11-09 21:11:16 UTC
51,対韓,3,5,2013-11-09 22:04:44 UTC,2013-11-09 22:04:44 UTC
52,朴大統領,3,5,2013-11-09 22:04:44 UTC,2013-11-09 22:04:44 UTC
53,山西省,3,1,2013-11-09 22:05:36 UTC,2013-11-09 22:05:36 UTC
54,３中総会,3,1,2013-11-09 22:05:36 UTC,2013-11-09 22:05:36 UTC
55,インド,3,7,2013-11-09 23:45:56 UTC,2013-11-09 23:45:56 UTC
56,パキスタン,3,7,2013-11-09 23:45:57 UTC,2013-11-09 23:45:57 UTC
57,バングラデシュ,3,7,2013-11-09 23:45:57 UTC,2013-11-09 23:45:57 UTC
58,ジャワ,3,4,2013-11-09 23:53:20 UTC,2013-11-09 23:53:20 UTC
